id,soru,sinif,alt_sinif,split,source,original_sinif,karar,gerekce,family_id,recipe_id
ilk-yardim-045,Gece nöbetinde bacağından yaralanan askere temiz bezle ilk ne yapayım?,medikal,ilk yardım,train,existing_package,ilk yardım,keep,good,ilk yardım:kanama:045,kanama
ilk-yardim-049,Gece nöbetinde kolu kanayan yaralıya tahliyeden önce turnikeyi nasıl takayım?,medikal,ilk yardım,train,existing_package,ilk yardım,keep,good,ilk yardım:kanama:049,kanama
ilk-yardim-052,Gece nöbetinde kolu kanayan yaralıya turnikeyle önce ne yapayım?,medikal,ilk yardım,train,existing_package,ilk yardım,keep,good,ilk yardım:kanama:052,kanama
ilk-yardim-057,"Arazide bacağından yaralanana ilk ne yapayım, turnike var?",medikal,ilk yardım,train,existing_package,ilk yardım,keep,good,ilk yardım:kanama:057,kanama
ilk-yardim-059,"Eğitim sahasında bacağı kırılmış olabilir, ilk yardım çantasıyla onu nasıl güvene alalım?",medikal,ilk yardım,train,existing_package,ilk yardım,keep,good,ilk yardım:travma:059,travma
ilk-yardim-062,Gece nöbetinde kolu kanayan yaralıya temiz bezle ilk ne yapayım?,medikal,ilk yardım,train,existing_package,ilk yardım,keep,good,ilk yardım:kanama:062,kanama
ilk-yardim-063,Arazide bacağından yaralanana temiz bezle önce ne yapayım?,medikal,ilk yardım,train,existing_package,ilk yardım,keep,good,ilk yardım:kanama:063,kanama
ilk-yardim-067,Araç yanında yanık yaralısını güvene almak için ilk yardım çantasından ne kullanayım?,medikal,ilk yardım,train,existing_package,ilk yardım,keep,good,ilk yardım:travma:067,travma
ilk-yardim-077,Gece nöbetinde bacağından yaralanan askere tahliyeden önce temiz bezle nasıl ilk yardım yapayım?,medikal,ilk yardım,train,existing_package,ilk yardım,keep,good,ilk yardım:kanama:077,kanama
ilk-yardim-080,"Araç yanında yanık yaralı var, yalnızım; onu nasıl güvene alayım?",medikal,ilk yardım,train,existing_package,ilk yardım,keep,good,ilk yardım:travma:080,travma
ilk-yardim-081,Arazide kolu kanayan yaralıya temiz bezle ilk ne yapayım?,medikal,ilk yardım,train,existing_package,ilk yardım,keep,good,ilk yardım:kanama:081,kanama
ilk-yardim-088,"Komutanım, araç yanında birinin kırığı var gibi, ilk yardım çantasından önce ne yapayım?",medikal,ilk yardım,train,existing_package,ilk yardım,keep,good,ilk yardım:travma:088,travma
ilk-yardim-098,Arazide bacağından yaralanan askere turnikeyi ilk nasıl uygulayayım?,medikal,ilk yardım,train,existing_package,ilk yardım,keep,good,ilk yardım:kanama:098,kanama
ilk-yardim-106,Arazide bacağından yaralanan askere turnikeyle ilk ne yapmalıyım?,medikal,ilk yardım,train,existing_package,ilk yardım,keep,good,ilk yardım:kanama:106,kanama
ilk-yardim-114,Araç yanında yanık yaralısını tek başıma nasıl güvene alayım?,medikal,ilk yardım,train,existing_package,ilk yardım,keep,good,ilk yardım:travma:114,travma
ilk-yardim-125,Araç yanında yanık yaralısını güvene almak için ilk ne yapayım?,medikal,ilk yardım,train,existing_package,ilk yardım,keep,good,ilk yardım:travma:125,travma
ilk-yardim-149,"Araç yanında birinin kırığı var gibi, ilk ne yapalım?",medikal,ilk yardım,train,existing_package,ilk yardım,keep,good,ilk yardım:travma:149,travma
ilk-yardim-153,Eğitim sahasında kırık şüphesinde ilk ne yapayım?,medikal,ilk yardım,train,existing_package,ilk yardım,keep,good,ilk yardım:travma:153,travma
ilk-yardim-176,Araç yanında yanık yaralısını güvene almak için yalnızken ne yapayım?,medikal,ilk yardım,train,existing_package,ilk yardım,keep,good,ilk yardım:travma:176,travma
ilk-yardim-213,"Gece nöbetinde bacağından yaralanana ilk ne yapayım, turnike var?",medikal,ilk yardım,train,existing_package,ilk yardım,keep,good,ilk yardım:kanama:213,kanama
ilk-yardim-214,"Arazide bacağından yaralanan askere ilk ne yapayım, turnikeyi nasıl kullanayım?",medikal,ilk yardım,train,existing_package,ilk yardım,keep,good,ilk yardım:kanama:214,kanama
ilk-yardim-215,"Eğitim sahasında yanık oldu, ilk yardım çantası var, önce ne yapayım?",medikal,ilk yardım,train,existing_package,ilk yardım,keep,good,ilk yardım:travma:215,travma
ilk-yardim-217,"Gece nöbetindeyiz, kolu kanayan yaralıya turnikeyle ilk ne yapayım?",medikal,ilk yardım,train,existing_package,ilk yardım,keep,good,ilk yardım:kanama:217,kanama
ilk-yardim-220,Arazide bacağından yaralanan kişiye tahliyeden önce temiz bezle nasıl müdahale edeyim?,medikal,ilk yardım,train,existing_package,ilk yardım,keep,good,ilk yardım:kanama:220,kanama
ilk-yardim-227,"Eğitim sahasında kırık şüphesi var, ilk yardım çantasından önce ne yapayım?",medikal,ilk yardım,train,existing_package,ilk yardım,keep,good,ilk yardım:travma:227,travma
ilk-yardim-230,Eğitim sahasında kırığı olabilecek yaralıyı tek başımayken nasıl güvene alırım?,medikal,ilk yardım,train,existing_package,ilk yardım,keep,good,ilk yardım:travma:230,travma
provided-0002,"Kolundaki kesik sürekli kanıyor, basıyı nasıl uygulamalıyım?",medikal,ilk yardım,train,provided_jsonl,medikal,provided,not_reviewed,,
provided-0003,Kanama durmuyorsa turnike ne zaman düşünülür?,medikal,ilk yardım,train,provided_jsonl,medikal,provided,not_reviewed,,
provided-0004,Turnikeyi yaraya ne kadar yukarıdan uygulamak gerekir?,medikal,ilk yardım,train,provided_jsonl,medikal,provided,not_reviewed,,
provided-0005,"Turnike taktım, uygulama saatini neden kaydetmeliyim?",medikal,ilk yardım,train,provided_jsonl,medikal,provided,not_reviewed,,
provided-0007,"Yaralı çok kan kaybetti, şok belirtileri neler olabilir?",medikal,ilk yardım,train,provided_jsonl,medikal,provided,not_reviewed,,
provided-0008,Kanaması olan yaralıyı hangi pozisyonda tutmalıyım?,medikal,ilk yardım,train,provided_jsonl,medikal,provided,not_reviewed,,
provided-0009,Yaradaki bezi kaldırmadan basıya devam etmeli miyim?,medikal,ilk yardım,train,provided_jsonl,medikal,provided,not_reviewed,,
provided-0010,Yoğun kanamada temiz bez yoksa ne kullanabilirim?,medikal,ilk yardım,train,provided_jsonl,medikal,provided,not_reviewed,,
provided-0011,"Arkadaşımın kolu kırılmış olabilir, nasıl sabitlemeliyim?",medikal,ilk yardım,train,provided_jsonl,medikal,provided,not_reviewed,,
provided-0012,Bacak kırığı şüphesinde yaralıyı hareket ettirmeli miyiz?,medikal,ilk yardım,train,provided_jsonl,medikal,provided,not_reviewed,,
provided-0015,"Ayak bileği ciddi şişti, kırık şüphesinde ne yapmalıyım?",medikal,ilk yardım,train,provided_jsonl,medikal,provided,not_reviewed,,
provided-0016,Omurga yaralanmasından şüpheleniyorsak kişiyi nasıl koruruz?,medikal,ilk yardım,train,provided_jsonl,medikal,provided,not_reviewed,,
provided-0018,Çıkık şüphesinde eklemi yerine oturtmalı mıyım?,medikal,ilk yardım,train,provided_jsonl,medikal,provided,not_reviewed,,
provided-0019,Kaburga kırığı olabilecek yaralıya nasıl yaklaşmalıyım?,medikal,ilk yardım,train,provided_jsonl,medikal,provided,not_reviewed,,
provided-0020,Başını sertçe çarpan birini hangi belirtiler açısından izlemeliyim?,medikal,ilk yardım,train,provided_jsonl,medikal,provided,not_reviewed,,
provided-0021,"Elinde sıcak yüzey yanığı var, ilk müdahale ne olmalı?",medikal,ilk yardım,train,provided_jsonl,medikal,provided,not_reviewed,,
provided-0022,Yanık bölgesini ne kadar süre serin tutmalıyım?,medikal,ilk yardım,train,provided_jsonl,medikal,provided,not_reviewed,,
provided-0023,Yanığa doğrudan buz koymak doğru mu?,medikal,ilk yardım,train,provided_jsonl,medikal,provided,not_reviewed,,
provided-0024,Kimyasal madde cilde döküldüyse ilk yardım nasıl yapılır?,medikal,ilk yardım,train,provided_jsonl,medikal,provided,not_reviewed,,
provided-0025,Elektrik yanığında yaralıya dokunmadan önce neyi kontrol etmeliyim?,medikal,ilk yardım,train,provided_jsonl,medikal,provided,not_reviewed,,
provided-0026,Yanık üzerindeki yapışmış kumaşı çıkarmalı mıyım?,medikal,ilk yardım,train,provided_jsonl,medikal,provided,not_reviewed,,
provided-0027,Su toplamış yanığı patlatmak güvenli mi?,medikal,ilk yardım,train,provided_jsonl,medikal,provided,not_reviewed,,
provided-0028,Geniş yanık alanı olan yaralıyı nasıl korumalıyım?,medikal,ilk yardım,train,provided_jsonl,medikal,provided,not_reviewed,,
provided-0029,Yüz yanığı olan yaralıda hangi bulgular acildir?,medikal,ilk yardım,train,provided_jsonl,medikal,provided,not_reviewed,,
provided-0030,Yanığı kapatmak için nasıl bir örtü kullanmalıyım?,medikal,ilk yardım,train,provided_jsonl,medikal,provided,not_reviewed,,
provided-0031,"Patlama sonrası yaralı soluk ve soğuk terliyor, ne yapmalıyım?",medikal,ilk yardım,train,provided_jsonl,medikal,provided,not_reviewed,,
provided-0032,Şok şüphesinde yaralının bacaklarını kaldırmak her zaman doğru mu?,medikal,ilk yardım,train,provided_jsonl,medikal,provided,not_reviewed,,
provided-0033,Şoktaki yaralıya su vermek uygun mu?,medikal,ilk yardım,train,provided_jsonl,medikal,provided,not_reviewed,,
provided-0034,Bilinci açık ama çok halsiz yaralıyı nasıl izlemeliyim?,medikal,ilk yardım,train,provided_jsonl,medikal,provided,not_reviewed,,
provided-0035,"Yaralı hızla üşüyor, hipotermiyi nasıl önleyebilirim?",medikal,ilk yardım,train,provided_jsonl,medikal,provided,not_reviewed,,
provided-0037,Hipotermide çok sıcak su kullanmak güvenli mi?,medikal,ilk yardım,train,provided_jsonl,medikal,provided,not_reviewed,,
provided-0038,Titremesi aniden duran soğuk yaralıda ne düşünmeliyim?,medikal,ilk yardım,train,provided_jsonl,medikal,provided,not_reviewed,,
provided-0040,Soğuk zeminde yatan yaralıyı nasıl yalıtmalıyım?,medikal,ilk yardım,train,provided_jsonl,medikal,provided,not_reviewed,,
provided-0041,"Yaralı tepki vermiyor ve nefes almıyor, ne yapmalıyım?",medikal,ilk yardım,train,provided_jsonl,medikal,provided,not_reviewed,,
provided-0042,Temel yaşam desteğine başlamadan önce neyi kontrol etmeliyim?,medikal,ilk yardım,train,provided_jsonl,medikal,provided,not_reviewed,,
provided-0043,Yetişkinde göğüs basısı nereye uygulanır?,medikal,ilk yardım,train,provided_jsonl,medikal,provided,not_reviewed,,
provided-0044,Kalp masajında bası hızı yaklaşık ne olmalı?,medikal,ilk yardım,train,provided_jsonl,medikal,provided,not_reviewed,,
provided-0045,Yapay solunum yapamıyorsam sadece göğüs basısı yapabilir miyim?,medikal,ilk yardım,train,provided_jsonl,medikal,provided,not_reviewed,,
provided-0046,Otomatik şok cihazı gelince hangi sırayla kullanılır?,medikal,ilk yardım,train,provided_jsonl,medikal,provided,not_reviewed,,
provided-0047,Nefes alan bilinçsiz yaralıyı hangi pozisyona almalıyım?,medikal,ilk yardım,train,provided_jsonl,medikal,provided,not_reviewed,,
provided-0048,Boğulma sonrası nefes almayan kişiye nasıl müdahale edilir?,medikal,ilk yardım,train,provided_jsonl,medikal,provided,not_reviewed,,
provided-0051,"Birden fazla yaralı var, önce kimi değerlendirmeliyim?",medikal,ilk yardım,train,provided_jsonl,medikal,provided,not_reviewed,,
provided-0055,Ağır kanamalı yaralı hangi öncelik grubuna girer?,medikal,ilk yardım,train,provided_jsonl,medikal,provided,not_reviewed,,
provided-0056,Yaralının durumu değişirse triyaj sınıfı değiştirilmeli mi?,medikal,ilk yardım,train,provided_jsonl,medikal,provided,not_reviewed,,
provided-0057,Triyaj etiketi üzerinde hangi bilgiler bulunmalı?,medikal,ilk yardım,train,provided_jsonl,medikal,provided,not_reviewed,,
provided-0058,Çoklu yaralanmada solunum hızını neden kontrol ediyoruz?,medikal,ilk yardım,train,provided_jsonl,medikal,provided,not_reviewed,,
provided-0059,Yaralıyı taşımadan önce çevrede hangi risklere bakmalıyım?,medikal,ilk yardım,train,provided_jsonl,medikal,provided,not_reviewed,,
provided-0061,Tek kişiyle yaralı taşımak gerektiğinde hangi yöntem uygundur?,medikal,ilk yardım,train,provided_jsonl,medikal,provided,not_reviewed,,
provided-0063,Omurga şüphesi olan yaralıyı zorunlu tahliyede nasıl taşımalıyız?,medikal,ilk yardım,train,provided_jsonl,medikal,provided,not_reviewed,,
provided-0065,Yaralıyı araç içinde nasıl sabitlemek gerekir?,medikal,ilk yardım,train,provided_jsonl,medikal,provided,not_reviewed,,
provided-0066,Bilinci kapalı yaralıyı taşırken başını nasıl korurum?,medikal,ilk yardım,train,provided_jsonl,medikal,provided,not_reviewed,,
provided-0067,Tehlikeli alandaki yaralıyı ne zaman hemen taşımak gerekir?,medikal,ilk yardım,train,provided_jsonl,medikal,provided,not_reviewed,,
provided-0068,Tahliye sırasında yaralının durumunu ne sıklıkla kontrol etmeliyim?,medikal,ilk yardım,train,provided_jsonl,medikal,provided,not_reviewed,,
provided-0069,Yaralı kusuyorsa hava yolunu nasıl koruyabilirim?,medikal,ilk yardım,train,provided_jsonl,medikal,provided,not_reviewed,,
provided-0071,Güçlü öksürebilen kişiye müdahale etmeli miyim?,medikal,ilk yardım,train,provided_jsonl,medikal,provided,not_reviewed,,
provided-0072,Boğulma sırasında bilinci kapanırsa ne yapmalıyım?,medikal,ilk yardım,train,provided_jsonl,medikal,provided,not_reviewed,,
provided-0073,Yaraya saplanmış cismi çıkarmalı mıyım?,medikal,ilk yardım,train,provided_jsonl,medikal,provided,not_reviewed,,
provided-0077,Kesilmiş parmak parçasını tahliye sırasında nasıl saklamalıyım?,medikal,ilk yardım,train,provided_jsonl,medikal,provided,not_reviewed,,
provided-0078,Ezilme yaralanmasında hangi belirtiler tehlikelidir?,medikal,ilk yardım,train,provided_jsonl,medikal,provided,not_reviewed,,
provided-0081,Hayvan ısırığında yarayı nasıl temizlemeliyim?,medikal,ilk yardım,train,provided_jsonl,medikal,provided,not_reviewed,,
provided-0084,Bayılan yaralıyı nasıl güvenli pozisyona almalıyım?,medikal,ilk yardım,train,provided_jsonl,medikal,provided,not_reviewed,,
provided-0086,Nöbet sırasında ağzına bir şey koymak gerekir mi?,medikal,ilk yardım,train,provided_jsonl,medikal,provided,not_reviewed,,
provided-0087,Zehirlenme şüphesinde yaralıyı kusturmak doğru mu?,medikal,ilk yardım,train,provided_jsonl,medikal,provided,not_reviewed,,
provided-0088,Yarada enfeksiyon başladığını hangi belirtilerden anlarım?,medikal,ilk yardım,train,provided_jsonl,medikal,provided,not_reviewed,,
provided-0090,Yaralının nabzını sahada nasıl kontrol edebilirim?,medikal,ilk yardım,train,provided_jsonl,medikal,provided,not_reviewed,,
provided-0091,Solunum sayısını hızlıca nasıl değerlendirebilirim?,medikal,ilk yardım,train,provided_jsonl,medikal,provided,not_reviewed,,
provided-0094,Patlama sonrası kulağı kanayan kişiye ne yapmalıyım?,medikal,ilk yardım,train,provided_jsonl,medikal,provided,not_reviewed,,
provided-0095,Göğüs travması sonrası nefes darlığı varsa ne yapmalıyım?,medikal,ilk yardım,train,provided_jsonl,medikal,provided,not_reviewed,,
provided-0098,Tahliye bekleyen yaralıyı sıcak tutmanın en iyi yolu nedir?,medikal,ilk yardım,train,provided_jsonl,medikal,provided,not_reviewed,,
provided-0099,İlk yardım sırasında eldiven kullanmak neden önemlidir?,medikal,ilk yardım,train,provided_jsonl,medikal,provided,not_reviewed,,
provided-0100,Yaralıya müdahale etmeden önce kendi güvenliğimi nasıl kontrol ederim?,medikal,ilk yardım,train,provided_jsonl,medikal,provided,not_reviewed,,
angajman-ve-esir-hukuku-001,Devriyede kimliği doğrulanmamış hedefe ateş için talimat alabilir miyiz?,savaş yönergeleri,angajman ve esir hukuku,train,existing_package,angajman ve esir hukuku,keep,good,angajman ve esir hukuku:angajman:001,angajman
angajman-ve-esir-hukuku-003,Kontrol noktasında kimliği doğrulanmamış silahlı biriyle karşılaşırsak angajman yetkimiz ne?,savaş yönergeleri,angajman ve esir hukuku,train,existing_package,angajman ve esir hukuku,keep,good,angajman ve esir hukuku:angajman:003,angajman
angajman-ve-esir-hukuku-004,"Komutanım, arazide elleri görünür şekilde teslim olan kişiyi güvenli olarak nasıl muhafaza edelim?",savaş yönergeleri,angajman ve esir hukuku,train,existing_package,angajman ve esir hukuku,keep,good,angajman ve esir hukuku:esir:004,esir
angajman-ve-esir-hukuku-012,Devriyede kimliği belirsiz silahlı biriyle karşılaşırsak angajman kuralı ne?,savaş yönergeleri,angajman ve esir hukuku,train,existing_package,angajman ve esir hukuku,keep,good,angajman ve esir hukuku:angajman:012,angajman
angajman-ve-esir-hukuku-015,Kontrol noktasında tehdit belirsizken ateş emri verme yetkim var mı?,savaş yönergeleri,angajman ve esir hukuku,train,existing_package,angajman ve esir hukuku,keep,good,angajman ve esir hukuku:angajman:015,angajman
angajman-ve-esir-hukuku-016,"Gözetlemeden sonra yakaladığımız şüphelinin elleri görünür, güvenli şekilde nasıl muhafaza edelim?",savaş yönergeleri,angajman ve esir hukuku,train,existing_package,angajman ve esir hukuku,keep,good,angajman ve esir hukuku:esir:016,esir
angajman-ve-esir-hukuku-035,"Gözetlemeden sonra teslim olan, elleri görünür kişiyi nasıl güvenli muhafaza edelim?",savaş yönergeleri,angajman ve esir hukuku,train,existing_package,angajman ve esir hukuku,keep,good,angajman ve esir hukuku:esir:035,esir
angajman-ve-esir-hukuku-036,Kontrol noktasında silahlı ama tehdit oluşturmayan biriyle karşılaşırsak yetkimiz ne?,savaş yönergeleri,angajman ve esir hukuku,train,existing_package,angajman ve esir hukuku,keep,good,angajman ve esir hukuku:angajman:036,angajman
angajman-ve-esir-hukuku-044,"Devriyede silahlı biriyle karşılaşırsak, tehdit net değilken angajman kuralı ne?",savaş yönergeleri,angajman ve esir hukuku,train,existing_package,angajman ve esir hukuku,keep,good,angajman ve esir hukuku:angajman:044,angajman
angajman-ve-esir-hukuku-055,Kontrol noktasında kimliği doğrulanmamış kişiye ateş etme yetkim var mı?,savaş yönergeleri,angajman ve esir hukuku,train,existing_package,angajman ve esir hukuku,keep,good,angajman ve esir hukuku:angajman:055,angajman
angajman-ve-esir-hukuku-061,"Gözetlemeden sonra yakaladığımız, yaralı olabilecek şüpheliye ilk ne yapalım?",savaş yönergeleri,angajman ve esir hukuku,train,existing_package,angajman ve esir hukuku,keep,good,angajman ve esir hukuku:esir:061,esir
angajman-ve-esir-hukuku-062,Kontrol noktasında tehdit belirsizken ateş talimatı alırsam hangi kurala uymalıyım?,savaş yönergeleri,angajman ve esir hukuku,train,existing_package,angajman ve esir hukuku,keep,good,angajman ve esir hukuku:angajman:062,angajman
angajman-ve-esir-hukuku-065,"Teslim olan kişi yaralıysa, arazide onu güvenli şekilde nasıl muhafaza edelim?",savaş yönergeleri,angajman ve esir hukuku,train,existing_package,angajman ve esir hukuku,keep,good,angajman ve esir hukuku:esir:065,esir
angajman-ve-esir-hukuku-067,"Komutanım, elleri görünür şekilde teslim olan kişiye ilk ne yapalım?",savaş yönergeleri,angajman ve esir hukuku,train,existing_package,angajman ve esir hukuku,keep,good,angajman ve esir hukuku:esir:067,esir
angajman-ve-esir-hukuku-075,Devriyede kimliği doğrulanmamış kişiye ateş emri verme yetkim var mı?,savaş yönergeleri,angajman ve esir hukuku,train,existing_package,angajman ve esir hukuku,keep,good,angajman ve esir hukuku:angajman:075,angajman
angajman-ve-esir-hukuku-087,Devriyede kimliği doğrulanmamış hedefe ateş için yetkim var mı?,savaş yönergeleri,angajman ve esir hukuku,train,existing_package,angajman ve esir hukuku,keep,good,angajman ve esir hukuku:angajman:087,angajman
angajman-ve-esir-hukuku-099,Devriyede silahlı ama tehdidi belirsiz biriyle karşılaşırsak angajman yetkimiz ne?,savaş yönergeleri,angajman ve esir hukuku,train,existing_package,angajman ve esir hukuku,keep,good,angajman ve esir hukuku:angajman:099,angajman
angajman-ve-esir-hukuku-108,Devriyede silahlı biriyle karşılaşırsak tehdit net değilken ne kadar müdahale yetkimiz var?,savaş yönergeleri,angajman ve esir hukuku,train,existing_package,angajman ve esir hukuku,keep,good,angajman ve esir hukuku:angajman:108,angajman
angajman-ve-esir-hukuku-161,Kontrol noktasında tehdit belirsizken ateş açma yetkim var mı?,savaş yönergeleri,angajman ve esir hukuku,train,existing_package,angajman ve esir hukuku,keep,good,angajman ve esir hukuku:angajman:161,angajman
angajman-ve-esir-hukuku-169,Devriyede kimliği doğrulanmamış kişilere ateş açma yetkim var mı?,savaş yönergeleri,angajman ve esir hukuku,train,existing_package,angajman ve esir hukuku,keep,good,angajman ve esir hukuku:angajman:169,angajman
angajman-ve-esir-hukuku-196,"Gözetlemede yakaladığımız şüpheli yaralı olabilir, teslim alırken ilk ne yapalım?",savaş yönergeleri,angajman ve esir hukuku,train,existing_package,angajman ve esir hukuku,keep,good,angajman ve esir hukuku:esir:196,esir
angajman-ve-esir-hukuku-212,Kontrol noktasında kimliği doğrulanmamış kişiye ateş emri verebilir miyiz?,savaş yönergeleri,angajman ve esir hukuku,train,existing_package,angajman ve esir hukuku,keep,good,angajman ve esir hukuku:angajman:212,angajman
angajman-ve-esir-hukuku-217,"Teslim olan kişi yaralı olabilir, arazide önce ne yapalım?",savaş yönergeleri,angajman ve esir hukuku,train,existing_package,angajman ve esir hukuku,keep,good,angajman ve esir hukuku:esir:217,esir
angajman-ve-esir-hukuku-230,Devriyede kimliği belirsiz silahlı biriyle karşılaşırsak angajmana girmeye yetkimiz var mı?,savaş yönergeleri,angajman ve esir hukuku,train,existing_package,angajman ve esir hukuku,keep,good,angajman ve esir hukuku:angajman:230,angajman
angajman-ve-esir-hukuku-235,"Kontrol noktasında silahlı biriyle karşılaşırsak, tehdit net değilken ne zaman müdahale edebiliriz?",savaş yönergeleri,angajman ve esir hukuku,train,existing_package,angajman ve esir hukuku,keep,good,angajman ve esir hukuku:angajman:235,angajman
angajman-ve-esir-hukuku-238,Kontrol noktasında kimliği doğrulanmamış silahlı biriyle karşılaşırsak ne yapacağız?,savaş yönergeleri,angajman ve esir hukuku,train,existing_package,angajman ve esir hukuku,keep,good,angajman ve esir hukuku:angajman:238,angajman
angajman-ve-esir-hukuku-242,Devriyede silahlı ama kimliği belirsiz biriyle karşılaşırsak angajman yetkimiz ne?,savaş yönergeleri,angajman ve esir hukuku,train,existing_package,angajman ve esir hukuku,keep,good,angajman ve esir hukuku:angajman:242,angajman
angajman-ve-esir-hukuku-255,Devriyede tehdit belirsizken ateş emri almadan ne kadar yetkim var?,savaş yönergeleri,angajman ve esir hukuku,train,existing_package,angajman ve esir hukuku,keep,good,angajman ve esir hukuku:angajman:255,angajman
fill-angajman-ve-esir-hukuku-002,Esirin kişisel eşyalarını teslim alırken mülkiyetini ve kayıt zincirini nasıl korumalıyız?,savaş yönergeleri,angajman ve esir hukuku,train,existing_package,angajman ve esir hukuku,keep,good,,
fill-angajman-ve-esir-hukuku-003,Gözaltındaki kişinin ailesiyle iletişim talebi gelirse bunu hangi mercie bildirmeliyiz?,savaş yönergeleri,angajman ve esir hukuku,train,existing_package,angajman ve esir hukuku,keep,good,,
fill-angajman-ve-esir-hukuku-004,Esirlerin sorgulanmasında yasak olan baskı yöntemleri konusunda ekibe hangi hatırlatmayı yapmalıyım?,savaş yönergeleri,angajman ve esir hukuku,train,existing_package,angajman ve esir hukuku,keep,good,,
fill-angajman-ve-esir-hukuku-006,Esir nakli sırasında kadınlar ve erkekler için ayrı düzenleme yapılması gerekir mi?,savaş yönergeleri,angajman ve esir hukuku,train,existing_package,angajman ve esir hukuku,keep,good,,
fill-angajman-ve-esir-hukuku-007,Çocuk olduğu anlaşılan bir yakalanan kişi için derhal hangi koruma prosedürü işletilmeli?,savaş yönergeleri,angajman ve esir hukuku,train,existing_package,angajman ve esir hukuku,keep,good,,
