soru,sinif
"Eğitim sahasında bacağı kırılmış olabilir, ilk yardım çantasıyla onu nasıl güvene alalım?",medikal
Gece nöbetinde kolu kanayan yaralıya temiz bezle ilk ne yapayım?,medikal
Arazide bacağından yaralanana temiz bezle önce ne yapayım?,medikal
Araç yanında yanık yaralısını güvene almak için ilk yardım çantasından ne kullanayım?,medikal
Gece nöbetinde bacağından yaralanan askere tahliyeden önce temiz bezle nasıl ilk yardım yapayım?,medikal
"Araç yanında yanık yaralı var, yalnızım; onu nasıl güvene alayım?",medikal
Arazide kolu kanayan yaralıya temiz bezle ilk ne yapayım?,medikal
"Komutanım, araç yanında birinin kırığı var gibi, ilk yardım çantasından önce ne yapayım?",medikal
Arazide bacağından yaralanan askere turnikeyi ilk nasıl uygulayayım?,medikal
Arazide bacağından yaralanan askere turnikeyle ilk ne yapmalıyım?,medikal
Araç yanında yanık yaralısını tek başıma nasıl güvene alayım?,medikal
Araç yanında yanık yaralısını güvene almak için ilk ne yapayım?,medikal
"Araç yanında birinin kırığı var gibi, ilk ne yapalım?",medikal
Eğitim sahasında kırık şüphesinde ilk ne yapayım?,medikal
Araç yanında yanık yaralısını güvene almak için yalnızken ne yapayım?,medikal
"Gece nöbetinde bacağından yaralanana ilk ne yapayım, turnike var?",medikal
"Arazide bacağından yaralanan askere ilk ne yapayım, turnikeyi nasıl kullanayım?",medikal
"Eğitim sahasında yanık oldu, ilk yardım çantası var, önce ne yapayım?",medikal
"Gece nöbetindeyiz, kolu kanayan yaralıya turnikeyle ilk ne yapayım?",medikal
Arazide bacağından yaralanan kişiye tahliyeden önce temiz bezle nasıl müdahale edeyim?,medikal
"Eğitim sahasında kırık şüphesi var, ilk yardım çantasından önce ne yapayım?",medikal
Eğitim sahasında kırığı olabilecek yaralıyı tek başımayken nasıl güvene alırım?,medikal
"Kolundaki kesik sürekli kanıyor, basıyı nasıl uygulamalıyım?",medikal
Kanama durmuyorsa turnike ne zaman düşünülür?,medikal
Turnikeyi yaraya ne kadar yukarıdan uygulamak gerekir?,medikal
"Turnike taktım, uygulama saatini neden kaydetmeliyim?",medikal
"Yaralı çok kan kaybetti, şok belirtileri neler olabilir?",medikal
Kanaması olan yaralıyı hangi pozisyonda tutmalıyım?,medikal
Yaradaki bezi kaldırmadan basıya devam etmeli miyim?,medikal
Yoğun kanamada temiz bez yoksa ne kullanabilirim?,medikal
"Arkadaşımın kolu kırılmış olabilir, nasıl sabitlemeliyim?",medikal
Bacak kırığı şüphesinde yaralıyı hareket ettirmeli miyiz?,medikal
"Ayak bileği ciddi şişti, kırık şüphesinde ne yapmalıyım?",medikal
Omurga yaralanmasından şüpheleniyorsak kişiyi nasıl koruruz?,medikal
Çıkık şüphesinde eklemi yerine oturtmalı mıyım?,medikal
Kaburga kırığı olabilecek yaralıya nasıl yaklaşmalıyım?,medikal
Başını sertçe çarpan birini hangi belirtiler açısından izlemeliyim?,medikal
"Elinde sıcak yüzey yanığı var, ilk müdahale ne olmalı?",medikal
Yanık bölgesini ne kadar süre serin tutmalıyım?,medikal
Yanığa doğrudan buz koymak doğru mu?,medikal
Kimyasal madde cilde döküldüyse ilk yardım nasıl yapılır?,medikal
Elektrik yanığında yaralıya dokunmadan önce neyi kontrol etmeliyim?,medikal
Yanık üzerindeki yapışmış kumaşı çıkarmalı mıyım?,medikal
Su toplamış yanığı patlatmak güvenli mi?,medikal
Geniş yanık alanı olan yaralıyı nasıl korumalıyım?,medikal
Yüz yanığı olan yaralıda hangi bulgular acildir?,medikal
Yanığı kapatmak için nasıl bir örtü kullanmalıyım?,medikal
"Patlama sonrası yaralı soluk ve soğuk terliyor, ne yapmalıyım?",medikal
Şok şüphesinde yaralının bacaklarını kaldırmak her zaman doğru mu?,medikal
Şoktaki yaralıya su vermek uygun mu?,medikal
Bilinci açık ama çok halsiz yaralıyı nasıl izlemeliyim?,medikal
"Yaralı hızla üşüyor, hipotermiyi nasıl önleyebilirim?",medikal
Hipotermide çok sıcak su kullanmak güvenli mi?,medikal
Titremesi aniden duran soğuk yaralıda ne düşünmeliyim?,medikal
Soğuk zeminde yatan yaralıyı nasıl yalıtmalıyım?,medikal
"Yaralı tepki vermiyor ve nefes almıyor, ne yapmalıyım?",medikal
Temel yaşam desteğine başlamadan önce neyi kontrol etmeliyim?,medikal
Yetişkinde göğüs basısı nereye uygulanır?,medikal
Kalp masajında bası hızı yaklaşık ne olmalı?,medikal
Yapay solunum yapamıyorsam sadece göğüs basısı yapabilir miyim?,medikal
Otomatik şok cihazı gelince hangi sırayla kullanılır?,medikal
Nefes alan bilinçsiz yaralıyı hangi pozisyona almalıyım?,medikal
Boğulma sonrası nefes almayan kişiye nasıl müdahale edilir?,medikal
"Birden fazla yaralı var, önce kimi değerlendirmeliyim?",medikal
Ağır kanamalı yaralı hangi öncelik grubuna girer?,medikal
Yaralının durumu değişirse triyaj sınıfı değiştirilmeli mi?,medikal
Triyaj etiketi üzerinde hangi bilgiler bulunmalı?,medikal
Çoklu yaralanmada solunum hızını neden kontrol ediyoruz?,medikal
Yaralıyı taşımadan önce çevrede hangi risklere bakmalıyım?,medikal
Tek kişiyle yaralı taşımak gerektiğinde hangi yöntem uygundur?,medikal
Omurga şüphesi olan yaralıyı zorunlu tahliyede nasıl taşımalıyız?,medikal
Yaralıyı araç içinde nasıl sabitlemek gerekir?,medikal
Bilinci kapalı yaralıyı taşırken başını nasıl korurum?,medikal
Tehlikeli alandaki yaralıyı ne zaman hemen taşımak gerekir?,medikal
Tahliye sırasında yaralının durumunu ne sıklıkla kontrol etmeliyim?,medikal
Yaralı kusuyorsa hava yolunu nasıl koruyabilirim?,medikal
Güçlü öksürebilen kişiye müdahale etmeli miyim?,medikal
Boğulma sırasında bilinci kapanırsa ne yapmalıyım?,medikal
Yaraya saplanmış cismi çıkarmalı mıyım?,medikal
Kesilmiş parmak parçasını tahliye sırasında nasıl saklamalıyım?,medikal
Ezilme yaralanmasında hangi belirtiler tehlikelidir?,medikal
Hayvan ısırığında yarayı nasıl temizlemeliyim?,medikal
Bayılan yaralıyı nasıl güvenli pozisyona almalıyım?,medikal
Nöbet sırasında ağzına bir şey koymak gerekir mi?,medikal
Zehirlenme şüphesinde yaralıyı kusturmak doğru mu?,medikal
Yarada enfeksiyon başladığını hangi belirtilerden anlarım?,medikal
Yaralının nabzını sahada nasıl kontrol edebilirim?,medikal
Solunum sayısını hızlıca nasıl değerlendirebilirim?,medikal
Patlama sonrası kulağı kanayan kişiye ne yapmalıyım?,medikal
Göğüs travması sonrası nefes darlığı varsa ne yapmalıyım?,medikal
Tahliye bekleyen yaralıyı sıcak tutmanın en iyi yolu nedir?,medikal
İlk yardım sırasında eldiven kullanmak neden önemlidir?,medikal
Yaralıya müdahale etmeden önce kendi güvenliğimi nasıl kontrol ederim?,medikal
Devriyede kimliği doğrulanmamış hedefe ateş için talimat alabilir miyiz?,savaş yönergeleri
Kontrol noktasında kimliği doğrulanmamış silahlı biriyle karşılaşırsak angajman yetkimiz ne?,savaş yönergeleri
"Komutanım, arazide elleri görünür şekilde teslim olan kişiyi güvenli olarak nasıl muhafaza edelim?",savaş yönergeleri
Devriyede kimliği belirsiz silahlı biriyle karşılaşırsak angajman kuralı ne?,savaş yönergeleri
Kontrol noktasında tehdit belirsizken ateş emri verme yetkim var mı?,savaş yönergeleri
"Gözetlemeden sonra yakaladığımız şüphelinin elleri görünür, güvenli şekilde nasıl muhafaza edelim?",savaş yönergeleri
"Gözetlemeden sonra teslim olan, elleri görünür kişiyi nasıl güvenli muhafaza edelim?",savaş yönergeleri
Kontrol noktasında silahlı ama tehdit oluşturmayan biriyle karşılaşırsak yetkimiz ne?,savaş yönergeleri
"Devriyede silahlı biriyle karşılaşırsak, tehdit net değilken angajman kuralı ne?",savaş yönergeleri
Kontrol noktasında kimliği doğrulanmamış kişiye ateş etme yetkim var mı?,savaş yönergeleri
"Gözetlemeden sonra yakaladığımız, yaralı olabilecek şüpheliye ilk ne yapalım?",savaş yönergeleri
Kontrol noktasında tehdit belirsizken ateş talimatı alırsam hangi kurala uymalıyım?,savaş yönergeleri
"Teslim olan kişi yaralıysa, arazide onu güvenli şekilde nasıl muhafaza edelim?",savaş yönergeleri
"Komutanım, elleri görünür şekilde teslim olan kişiye ilk ne yapalım?",savaş yönergeleri
Devriyede kimliği doğrulanmamış kişiye ateş emri verme yetkim var mı?,savaş yönergeleri
Devriyede kimliği doğrulanmamış hedefe ateş için yetkim var mı?,savaş yönergeleri
Devriyede silahlı ama tehdidi belirsiz biriyle karşılaşırsak angajman yetkimiz ne?,savaş yönergeleri
Devriyede silahlı biriyle karşılaşırsak tehdit net değilken ne kadar müdahale yetkimiz var?,savaş yönergeleri
Kontrol noktasında tehdit belirsizken ateş açma yetkim var mı?,savaş yönergeleri
Devriyede kimliği doğrulanmamış kişilere ateş açma yetkim var mı?,savaş yönergeleri
"Gözetlemede yakaladığımız şüpheli yaralı olabilir, teslim alırken ilk ne yapalım?",savaş yönergeleri
Kontrol noktasında kimliği doğrulanmamış kişiye ateş emri verebilir miyiz?,savaş yönergeleri
"Teslim olan kişi yaralı olabilir, arazide önce ne yapalım?",savaş yönergeleri
Devriyede kimliği belirsiz silahlı biriyle karşılaşırsak angajmana girmeye yetkimiz var mı?,savaş yönergeleri
"Kontrol noktasında silahlı biriyle karşılaşırsak, tehdit net değilken ne zaman müdahale edebiliriz?",savaş yönergeleri
Kontrol noktasında kimliği doğrulanmamış silahlı biriyle karşılaşırsak ne yapacağız?,savaş yönergeleri
Devriyede silahlı ama kimliği belirsiz biriyle karşılaşırsak angajman yetkimiz ne?,savaş yönergeleri
Devriyede tehdit belirsizken ateş emri almadan ne kadar yetkim var?,savaş yönergeleri
Esirin kişisel eşyalarını teslim alırken mülkiyetini ve kayıt zincirini nasıl korumalıyız?,savaş yönergeleri
Gözaltındaki kişinin ailesiyle iletişim talebi gelirse bunu hangi mercie bildirmeliyiz?,savaş yönergeleri
Esirlerin sorgulanmasında yasak olan baskı yöntemleri konusunda ekibe hangi hatırlatmayı yapmalıyım?,savaş yönergeleri
Esir nakli sırasında kadınlar ve erkekler için ayrı düzenleme yapılması gerekir mi?,savaş yönergeleri
Çocuk olduğu anlaşılan bir yakalanan kişi için derhal hangi koruma prosedürü işletilmeli?,savaş yönergeleri
Gözaltındaki bir kişi kötü muamele iddiasında bulunursa olay yerinde hangi bildirim ve delil koruma adımlarını izlemeliyiz?,savaş yönergeleri
Yakalanan kişinin dilini konuşamıyorsak haklarını kendisine nasıl bildirmeliyiz?,savaş yönergeleri
Esirlerin fotoğrafını çekip birlik mesajlaşma grubunda paylaşmak hukuken uygun mudur?,savaş yönergeleri
Saha unsurunda yeterli barınma yoksa esirlerin güvenliği ve insani ihtiyaçları için hangi makamdan destek istemeliyiz?,savaş yönergeleri
Bir esir başka bir esire tehditte bulunursa güvenliği sağlarken hangi hukukî sınırları gözetmeliyiz?,savaş yönergeleri
Yakalanan kişinin askerî mi sivil mi olduğundan emin değilsek statüsünü belirleyene kadar nasıl muamele etmeliyiz?,savaş yönergeleri
Esirin sağlık durumu nakle elverişli değilse operasyon temposuna rağmen hangi öncelik uygulanır?,savaş yönergeleri
Gözaltındaki kişinin kişisel ilaçlarına el koyduysak bunların devamlı kullanımını nasıl güvenceye almalıyız?,savaş yönergeleri
Esirlerin yiyecek ve su dağıtımında ayrımcılık yapılmaması için hangi kayıt düzenini kurmalıyız?,savaş yönergeleri
Esirin sorgu sırasında avukat veya temsilci talebi olursa bunu hangi kanaldan iletmeliyiz?,savaş yönergeleri
"Esirin teslim alınma saatini, yerini ve durumunu kayıt altına almak neden önemlidir?",savaş yönergeleri
Gözaltındaki kişinin kaybolduğu iddiasını önlemek için devir teslimde hangi bilgileri imza altına almalıyız?,savaş yönergeleri
Esirin cesedine rastlarsak kimlik tespiti ve saygın muamele için hangi işlemleri başlatmalıyız?,savaş yönergeleri
"Bir esirin hamile olabileceği anlaşılırsa barınma, sağlık ve nakil planında hangi özel tedbirleri almalıyız?",savaş yönergeleri
Gözaltındaki kişiye aşağılayıcı hitap veya teşhir uygulanmasını önlemek için tim içinde hangi talimatı vermeliyiz?,savaş yönergeleri
"Sığınak girişinde radyasyon ikazı aldık, içeride kalma süresini ve giriş-çıkış kaydını nasıl düzenleyelim?",savaş yönergeleri
Dekontaminasyon hattında su basıncı kesildiğinde personelin geçişini nasıl kontrol altında tutarız?,savaş yönergeleri
Maskemin filtre süresinin dolduğundan şüpheleniyorsam güvenli değişim için ne talep etmeliyim?,savaş yönergeleri
Dekontaminasyon sonrası kişisel dozimetre ve ekipman kontrolünü hangi kayıtla teslim etmeliyim?,savaş yönergeleri
Şüpheli mühimmatın yanında biyolojik risk işareti görürsek alan emniyetini nasıl kurmalıyız?,savaş yönergeleri
KBRN olayında telsizle konum bildirirken hangi bilgileri kısa ve açık şekilde vermeliyim?,savaş yönergeleri
Koruyucu kıyafetim ıslanıp hareketimi kısıtladığında görev amirine hangi durumu öncelikle bildirmeliyim?,savaş yönergeleri
Temiz alan sınırında işaretsiz bir personel görünürse girişini engellemek için nasıl hareket etmeliyiz?,savaş yönergeleri
Radyolojik tarama cihazı alarm veriyor ancak yüzeyde görünür bulaş yoksa kontrol sürecini nasıl başlatırız?,savaş yönergeleri
KBRN eğitiminde alarm sesini duyduğumda personel sayımı için hangi toplanma düzenini uygulamalıyız?,savaş yönergeleri
Şehir dışındaki terk edilmiş yapıda girişleri görünmeden nasıl mevzilendirelim?,savaş yönergeleri
Yağmur sonrası çamurlu zeminde iz bırakmadan geçici siper alanını nasıl seçeriz?,savaş yönergeleri
Dere yatağı yakınında mevzi kurarken taşkın ve görüş hattı riskini nasıl dengeleyelim?,savaş yönergeleri
Gece intikalinden sonra dinlenme noktasını termal iz bırakmayacak şekilde nasıl düzenleriz?,savaş yönergeleri
Tarladaki ekin sıraları arasında mevzi alırken çevre dokusunu bozmamak için ne yapmalıyız?,savaş yönergeleri
Yol kenarında kısa süreli emniyet mevzisi seçerken araç farlarına karşı nasıl korunuruz?,savaş yönergeleri
Sisli havada mevzimizin yakın çevreden fark edilmesini önlemek için hangi ses disiplinini uygularız?,savaş yönergeleri
Harabe içinde mevzi seçerken çökme riskiyle gizlenme ihtiyacını nasıl değerlendiririz?,savaş yönergeleri
Rüzgârlı havada kamuflaj malzemesinin hareket etmemesi için ne tür sabitleme yapalım?,savaş yönergeleri
Köprü altındaki geçici saklanma alanında ses ve koku izini nasıl azaltırız?,savaş yönergeleri
Kıyı şeridinde gelgit değişirken mevzi yerini seçerken hangi işaretlere bakmalıyız?,savaş yönergeleri
Yüksek otlukta gözetleme yaparken bitki örtüsünü ezmeden görüş açıklığını nasıl oluştururuz?,savaş yönergeleri
Kaya gölgesinde bekleme noktası kurarken gün içindeki gölge değişimini nasıl hesaba katarız?,savaş yönergeleri
Çalılık alanda ekip dağılımını yaparken birbirimizi kaybetmeden görünürlüğü nasıl düşük tutarız?,savaş yönergeleri
Moloz yığınında mevzi hazırlarken taze kazı izlerini çevreyle nasıl uyumlu hale getiririz?,savaş yönergeleri
Gece yağmurunda siperden su tahliyesi yaparken görünür iz bırakmamak için neye dikkat edelim?,savaş yönergeleri
Tarla sınırındaki hendekte mevzi alırken çevredeki düzenli çizgileri bozmadan nasıl yerleşiriz?,savaş yönergeleri
Yerleşim yakınındaki boş arazide duman ve yemek kokusunu belli etmeden nasıl yönetiriz?,savaş yönergeleri
Karlı zeminde geçici mevziden ayrılırken gerideki ayak izlerini nasıl asgariye indiririz?,savaş yönergeleri
Açık kayalıkta haberleşme için dururken anten ve ekipmanı siluet oluşturmayacak biçimde nasıl konumlandırırız?,savaş yönergeleri
Kuru mevsimde çalılıkta beklerken toz kaldırmadan ekip hareketini nasıl düzenleriz?,savaş yönergeleri
Terk edilmiş araçların yanında gizlenirken doğal olmayan görünüm oluşturmamak için malzemeyi nasıl yerleştiririz?,savaş yönergeleri
"Güneş yükselirken mevzideki cam, metal ve optik yüzeylerin parlamasını nasıl önleriz?",savaş yönergeleri
Yağışlı gecede ıslanan kamuflaj malzemesinin rengini çevreyle uyumlu tutmak için nasıl kontrol ederiz?,savaş yönergeleri
Mevzi değiştirirken eski yerimizin kullanıldığını belli eden çöpleri ve izleri nasıl toplarız?,savaş yönergeleri
Telsiz bağlantısı kesildiğinde nöbet yerini terk etmeden emniyet durumunu nasıl rapor etmeliyim?,savaş yönergeleri
Nöbet noktasında kimliği belirsiz bir kişi parola söylemeden yaklaşırsa hangi güvenlik prosedürünü uygulamalıyız?,savaş yönergeleri
"Vardiya tesliminde silah, mühimmat ve haberleşme cihazlarının kontrolünü hangi sırayla yapmalıyım?",savaş yönergeleri
Nöbet kulübesi yakınında sahipsiz bir çanta fark edilirse alanı nasıl güvene almalıyız?,savaş yönergeleri
Devriye dönüşü personel sayısında uyuşmazlık fark edersem durumu kime ve nasıl bildirmeliyim?,savaş yönergeleri
Nöbet hattındaki tel engelde hasar gördüğünü fark ettiğimizde ilk emniyet tedbirimiz ne olmalı?,savaş yönergeleri
Kontrol noktasına gelen kişinin kimlik belgesiyle beyanı uyuşmazsa nasıl işlem yapmalıyız?,savaş yönergeleri
Nöbet sırasında uzaktan patlama sesi duyarsak gözlem ve bildirim için hangi bilgileri toplamalıyız?,savaş yönergeleri
Koruma alanı çevresinde başıboş hayvanların hareket sensörlerini tetiklediğini fark edersek ne yapmalıyız?,savaş yönergeleri
Nöbet mahallinde acil tahliye anonsu yapılırsa sorumluluk bölgemizin emniyetini nasıl devretmeliyiz?,savaş yönergeleri
Gece görüş cihazının bataryası azaldığında yedek ekipmanı kullanırken hangi kontrolleri yapmalıyım?,savaş yönergeleri
Nöbet defterinde önceki vardiyadan eksik veya çelişkili kayıt varsa bunu nasıl kayıt altına alıp bildirmeliyim?,savaş yönergeleri
Engebeli arazide işaret noktalarına göre kolu düzenlemek için hangi rotayı seçelim?,savaş yönergeleri
Gece pusulayla toplanma noktasına giderken koordinatı nasıl okuyacağım?,savaş yönergeleri
Dar geçitte konvoyu yönlendirmek için pusulayla mesafeyi nasıl tahmin edelim?,savaş yönergeleri
"Sis yüzünden koordinatı okuyamıyorum, pusulayla toplanma noktasına nasıl giderim?",savaş yönergeleri
Sis içinde sadece haritayla koordinatı nasıl okuyup belirlenen mevziye giderim?,savaş yönergeleri
Dar geçitte yürüyüş kolunu düzenlemek için pusulayla hangi rotayı seçelim?,savaş yönergeleri
Gece pusulayla mevziye gitmek için azimutu nasıl alırım?,savaş yönergeleri
Sisli havada yalnız haritayla mevziye gitmek için azimutu nasıl alırım?,savaş yönergeleri
Sis yüzünden belirlenen mevziye gitmek için pusulayla azimutu nasıl alayım?,savaş yönergeleri
Engebeli arazide konvoyu yönlendirmek için haritadaki işaret noktalarına göre mesafeyi nasıl tahmin edelim?,savaş yönergeleri
Engebeli arazide konvoyu yönlendirmek için pusulayla hangi rotayı seçelim?,savaş yönergeleri
Gece sadece haritayla toplanma noktasına azimut nasıl alırım?,savaş yönergeleri
"Sis yüzünden koordinatı okuyamıyorum, sadece haritayla toplanma noktasına nasıl giderim?",savaş yönergeleri
"Dar geçitte konvoyu hangi rotadan götürelim, pusulaya göre yön verebilir misin?",savaş yönergeleri
Pusulayla engebeli arazide konvoyu yönlendirirken mesafeyi nasıl tahmin ederiz?,savaş yönergeleri
"Engebeli arazide konvoyu hangi rotadan götürelim, işaret noktaları var mı?",savaş yönergeleri
Engebeli arazide işaret noktalarına göre konvoy için en güvenli rotayı hangisinden seçelim?,savaş yönergeleri
Dar geçitte konvoyu yönlendirmek için işaret noktalarına göre hangi rotayı seçelim?,savaş yönergeleri
Gece sadece haritayla belirlenen mevziye gitmek için azimutu nasıl alırım?,savaş yönergeleri
Konvoyu engebeli arazide işaret noktalarına göre hangi rotadan götürelim?,savaş yönergeleri
"Sis yüzünden koordinatı okuyamıyorum, pusulayla mevziye nasıl intikal edeyim?",savaş yönergeleri
Gece belirlenen mevziye ulaşmak için pusulayla azimutu nasıl alırım?,savaş yönergeleri
Gece toplanma noktasına gitmek için pusulayla azimut nasıl alırım?,savaş yönergeleri
Engebeli arazide yürüyüş kolunu düzenlerken pusulayla mesafeyi nasıl tahmin edelim?,savaş yönergeleri
Sisli havada pusulayla toplanma noktasına gitmek için azimutu nasıl alırım?,savaş yönergeleri
Sis içinde pusulayla koordinatı nasıl okuyup belirlenen mevziye ulaşırım?,savaş yönergeleri
Dar geçitte işaret noktalarına göre konvoy için hangi rotayı seçelim?,savaş yönergeleri
Engebeli arazide işaret noktalarına bakarak yürüyüş kolunu düzenlemek için mesafeyi nasıl tahmin edelim?,savaş yönergeleri
Dar geçitte kolu düzenlerken işaret noktalarına göre mesafeyi nasıl tahmin edelim?,savaş yönergeleri
Engebeli arazide işaret noktalarına göre mesafeyi nasıl tahmin edip kolu düzenleyelim?,savaş yönergeleri
Sisli havada pusulayla toplanma noktasının koordinatını nasıl okuyup gidebilirim?,savaş yönergeleri
Sisli havada sadece haritayla toplanma noktasının azimutunu nasıl alırım?,savaş yönergeleri
Dar geçitte işaret noktalarına bakarak konvoyu hedefe kaç kilometre kaldığını nasıl yönlendirelim?,savaş yönergeleri
Sisli havada sadece haritayla toplanma noktasının koordinatını nasıl okuyup yön bulacağız?,savaş yönergeleri
"Sis yüzünden azimut alamıyorum, sadece haritayla belirlenen mevziye nasıl ulaşırım?",savaş yönergeleri
"Dar geçitte işaret noktalarına göre konvoyu nasıl yönlendirelim, mesafeyi nasıl tahmin edelim?",savaş yönergeleri
Nöbet yerindeki bilinmeyen sıvıdan maskeyle nasıl güvenle uzaklaşırım?,savaş yönergeleri
"KBRN alarmında açık alandayken ilk ne yapayım, maskem yanımda?",savaş yönergeleri
"Araç yanında şüpheli duman var, maskeyi hemen mi takayım?",savaş yönergeleri
"KBRN alarmı var, araç yanında ilk ne yapayım, maskeyi takayım mı?",savaş yönergeleri
"KBRN alarmı var, maske ne zaman takılacak?",savaş yönergeleri
"Nöbet yerinde kimyasal koku var, maskem takılıyken güvenli şekilde nasıl uzaklaşayım?",savaş yönergeleri
"Nöbet yerinde kimyasal koku var, dekontaminasyon noktası uzakken güvenli şekilde nasıl uzaklaşalım?",savaş yönergeleri
"Araç yanında şüpheli duman var, maskem yanımda; önce ne yapayım?",savaş yönergeleri
"İntikalde kimyasal koku aldım, maskem takılıyken güvenli bölgeye nasıl uzaklaşayım?",savaş yönergeleri
"İntikal sırasında kimyasal koku aldık, dekontaminasyon noktası uzaktayken güvenli şekilde nasıl uzaklaşırız?",savaş yönergeleri
"İntikal sırasında bilinmeyen sıvıya maruz kaldık, dekontaminasyon noktası uzakken güvenli şekilde nasıl uzaklaşalım?",savaş yönergeleri
"İntikal sırasında kimyasal koku alırsak, maske takılıyken bunu hangi sırayla bildirelim?",savaş yönergeleri
"Nöbet yerinde bilinmeyen sıvı gördüm, maske takılıyken önce kime haber vereyim?",savaş yönergeleri
KBRN alarmında araç yakınındayken maskeyi ne zaman takayım?,savaş yönergeleri
"Açık alanda şüpheli duman var, koruyucu ekipmanımız eksik; ilk ne yapalım?",savaş yönergeleri
"Nöbet yerinde kimyasal koku aldım, dekontaminasyon noktası uzaktayken önce kime haber vereyim?",savaş yönergeleri
KBRN alarmında açık alandayken ekipmanımız eksikse ilk ne yapalım?,savaş yönergeleri
"Açık alanda şüpheli duman var, koruyucu ekipman eksikken maskeyi ne zaman takayım?",savaş yönergeleri
"Nöbet yerinde bilinmeyen sıvı gördüm, dekontaminasyon noktası uzakken önce kime haber vereyim?",savaş yönergeleri
KBRN alarmında açık alandaysak maskeyi hemen mi takayım?,savaş yönergeleri
KBRN alarmında maske yoksa araç yanında ne yapayım?,savaş yönergeleri
"İntikal sırasında kimyasal koku alırsam, maskem takılıyken kime önce bildirmeliyim?",savaş yönergeleri
"İntikal sırasında üzerime bilinmeyen sıvı sıçradı, maskem takılıyken bunu kime bildirmeliyim?",savaş yönergeleri
Açık alandaki şu şüpheli dumanda maskeyi hemen mi takayım?,savaş yönergeleri
"İntikalde üzerime bilinmeyen sıvı döküldü, maskem takılıyken bunu kime önce bildirmeliyim?",savaş yönergeleri
"KBRN alarmı verildi, açık alandayım ve maskem yanımda, ilk ne yapayım?",savaş yönergeleri
"İntikalde maskem takılıyken üzerime bilinmeyen sıvı döküldü, bunu hangi sırayla bildireyim?",savaş yönergeleri
"İntikalde maskem takılıyken kimyasal koku alırsam bunu kime, hangi sırayla bildireyim?",savaş yönergeleri
"Açık alanda KBRN alarmı verildi, koruyucu ekipman eksikken maskeyi ne zaman takayım?",savaş yönergeleri
"Araç yanında şüpheli duman var, koruyucu ekipman eksikken ilk ne yapalım?",savaş yönergeleri
"Nöbet yerinde kimyasal koku alıyorum, dekontaminasyon noktası uzaktayken bunu kime ve hangi sırayla bildireyim?",savaş yönergeleri
"İntikalde üzerime bilinmeyen sıvı sıçradı, dekontaminasyon noktası uzakken kime haber vereyim?",savaş yönergeleri
"İntikalde üzerime bilinmeyen sıvı döküldü, dekontaminasyon noktası uzakken bunu hangi sırayla bildireyim?",savaş yönergeleri
"İntikal sırasında bilinmeyen sıvıya rastladık, dekontaminasyon noktası uzakken güvenli şekilde nasıl uzaklaşalım?",savaş yönergeleri
"Araç yanında şüpheli duman var, koruyucu ekipman eksikken maskeyi hemen takmalı mıyım?",savaş yönergeleri
"İntikal sırasında kimyasal koku aldım, dekontaminasyon noktası uzaktayken önce kime haber vereyim?",savaş yönergeleri
"İntikalde üzerime bilinmeyen sıvı döküldü, dekontaminasyon noktası uzakken bunu önce kime bildirmeliyim?",savaş yönergeleri
